"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"409","NEON.PLA.D19.DEJU.00500","DEJU_045.basePlot.vst","DEJU_045",2021-08-23,"single bole tree","Live",13.5,120,"noChange",4.9,2.1,1.9,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084334.89279487,561757.760112146,0.7,63.8807546382279,-145.742667801593,"509.02",1.1
"1057","NEON.PLA.D19.DEJU.05130","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",11.1,130,"noChange",4.9,2,1.8,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084032.83701359,560857.733489861,0.7,63.8782025455454,-145.761105709285,"515.06",1.1
"443","NEON.PLA.D19.DEJU.00715","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",10.8,130,"noChange",4.8,1.6,1.4,"Mostly shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084423.96836499,560722.347132976,0.7,63.8817353682441,-145.76370678441,"511.05",1.1
"806","NEON.PLA.D19.DEJU.02924","DEJU_046.basePlot.vst","DEJU_046",2021-08-25,"single bole tree","Standing dead",14.1,128,"noChange",4.8,2.6,2.4,"Full sun",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083975.78780948,561236.645170759,0.7,63.8776244804305,-145.753416996382,"512.95",1.1
"893","NEON.PLA.D19.DEJU.04521","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,NA,"No longer qualifies",NA,130,"noChange",4.7,NA,NA,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084362.54991721,561232.040845514,0.8,63.8810953358384,-145.753356908027,"506.96",1.1
"381","NEON.PLA.D19.DEJU.00497","DEJU_052.basePlot.vst","DEJU_052",2021-08-23,"single bole tree","Live",11.8,136,"noChange",4.6,4.3,3.2,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084456.89662925,561764.635804761,0.7,63.8818480419139,-145.74247891652,"507.94",1.1
"810","NEON.PLA.D19.DEJU.02928","DEJU_046.basePlot.vst","DEJU_046",2021-08-25,"single bole tree","Live",11,140,"noChange",4.6,1.5,1.2,"Full sun",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083989.37740631,561239.347419883,0.7,63.8777459332786,-145.753356599224,"512.99",1.1
"1052","NEON.PLA.D19.DEJU.05125","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",10.7,133,"noChange",4.6,2.9,2.7,"Partially shaded",NA,"23","PIGL","Picea glauca (Moench) Voss","6N",7084012.78237542,560838.747430574,0.7,63.8780259208875,-145.761500026394,"514.55",1.1
"447","NEON.PLA.D19.DEJU.00719","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",10.7,140,"noChange",4.5,1.7,1.5,"Partially shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084414.85735559,560741.028908298,0.7,63.8816503751725,-145.763330128873,"511.12",1.1
"474","NEON.PLA.D19.DEJU.00748","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",11.4,145,"noChange",4.5,1.6,1.3,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084367.66743581,561225.060309089,0.7,63.8811424741192,-145.753496951572,"506.78",1.1
